frame,time_sec,r_elbow_angle,l_elbow_angle,r_shoulder_angle,l_shoulder_angle,shoulder_tilt,r_wrist_height,l_wrist_height,r_wrist_vis,r_elbow_vis
225,7.5,169.65,174.1,53.94,112.32,-15.38,0.8467,0.4884,0.99,0.95
226,7.533,169.01,170.4,54.47,124.31,-15.38,0.8466,0.4884,0.99,0.95
227,7.567,168.88,167.07,54.94,135.66,-15.34,0.8465,0.4892,0.99,0.95
228,7.6,168.73,157.06,55.23,150.16,-15.28,0.8462,0.4895,0.98,0.94
229,7.633,168.72,156.91,55.6,155.35,-15.23,0.8463,0.4905,0.98,0.93
230,7.667,169.15,159.1,56.03,159.27,-15.14,0.8459,0.4937,0.98,0.92
231,7.7,168.71,161.8,56.14,162.58,-15.11,0.8457,0.4953,0.98,0.91
232,7.733,168.28,161.23,56.37,165.76,-15.08,0.8455,0.4965,0.97,0.9
233,7.767,167.58,163.05,56.37,168.31,-15.04,0.8455,0.4971,0.97,0.89
234,7.8,167.0,165.27,56.33,169.47,-14.94,0.8452,0.4991,0.97,0.88
235,7.833,166.49,167.11,56.39,170.25,-14.8,0.845,0.5007,0.97,0.88
236,7.867,165.63,167.7,56.22,170.74,-14.63,0.8438,0.5011,0.97,0.87
237,7.9,164.77,167.69,56.1,171.55,-14.54,0.843,0.5019,0.97,0.87
238,7.933,163.49,167.51,55.66,172.86,-14.47,0.8407,0.5026,0.97,0.87
239,7.967,161.89,168.19,54.92,173.11,-14.2,0.8389,0.5031,0.97,0.87
240,8.0,162.55,168.57,55.52,172.83,-14.08,0.8366,0.5036,0.97,0.86
241,8.033,161.94,168.73,55.35,172.96,-14.01,0.8364,0.5041,0.97,0.85
242,8.067,161.31,169.31,55.19,172.91,-13.99,0.8334,0.5048,0.96,0.84
243,8.1,158.69,169.78,53.61,172.73,-13.95,0.8326,0.5064,0.96,0.83
244,8.133,158.58,172.02,53.49,172.71,-13.83,0.8308,0.5099,0.96,0.82
